Iteration,GUE_Mass,Poisson_Mass,Admissible,Rupture_Triggered
0,0.31006404293068895,11.661610289752058,True,False
1,0.24402299217590198,10.7155273858941,True,False
2,0.2705443510522437,15.026355764862327,True,False
3,0.2878465844028707,12.897298027411034,True,False
4,0.4725393373609962,14.091863161127383,True,False
5,0.2856502152714767,9.098652674444036,True,False
6,0.28328576399140754,8.087731002790955,True,False
7,0.2555884245644968,10.260087341977641,True,False
8,0.2963867970962611,11.664766245715773,True,False
9,0.27423724153394013,10.024000770487763,True,False
10,0.3925198744947113,10.222685615700026,True,False
11,0.24659613792451324,10.32184688747345,True,False
12,0.24049440947254053,11.118954368004665,True,False
13,0.2647052636590275,9.65181792316478,True,False
14,0.29541825964209595,13.380078013760007,True,False
15,0.26752667093461524,9.311430062120364,True,False
16,0.28274569236036323,10.897025644842982,True,False
17,0.31158883875634735,10.190547428475579,True,False
18,0.309491089299798,12.274012905757866,True,False
19,0.26529040314372165,9.345110090911195,True,False
20,0.2977062249114486,8.348831307119163,True,False
21,0.27359013129477383,12.894052626493902,True,False
22,0.2879125827454238,9.331164464805006,True,False
23,0.32090370097970455,9.92134097895998,True,False
24,0.28273274672028276,10.900498103815968,True,False
25,0.303075718287381,10.10784043738792,True,False
26,0.3031191254612659,11.439908964232515,True,False
27,0.403451096197277,9.549859561418248,True,False
28,0.31857246174977,11.823300631191506,True,False
29,0.2479070150497019,10.554897009283392,True,False
30,0.2666750654240595,12.412639003182665,True,False
31,0.2851480951888875,11.309414966202606,True,False
32,0.2810731876687954,11.09161550188487,True,False
33,0.32494273655687195,11.973447705025546,True,False
34,0.28942713684366955,10.490049324090453,True,False
35,0.25933673060904744,10.894866123237893,True,False
36,0.27979342116833517,12.160742855319729,True,False
37,0.2583725425558934,10.811562801950243,True,False
38,0.2675193630149674,10.255027382965196,True,False
39,0.3296379219292229,10.314056586599907,True,False
40,0.24657114307025307,11.517478985533035,True,False
41,0.3019148777101647,9.988447622168572,True,False
42,0.2939863723150936,14.103343663669776,True,False
43,0.3336496724501659,11.093299168307109,True,False
44,0.27001055159554443,9.06644715923539,True,False
45,0.2856906073915148,11.319831101860117,True,False
46,0.2540317380732642,14.097227870406533,True,False
47,0.2592989219645815,10.778366363576833,True,False
48,0.3045779233136953,10.46397656085389,True,False
49,0.3685641306718785,10.428961492338509,True,False
50,0.26960307193023947,11.732838479933074,True,False
51,0.2727624986514085,9.645401942790704,True,False
52,0.3196572945928459,14.929801387758681,True,False
53,0.3132208864729221,11.091706608110071,True,False
54,0.28420572708695924,9.17381246862896,True,False
55,0.23681493654700653,13.45685974276574,True,False
56,0.2420787983489127,10.953803149231424,True,False
57,0.36130978773840533,11.137480267418194,True,False
58,0.34256144315126896,12.996354693480566,True,False
59,0.2868420602571649,10.245091853950456,True,False
60,0.43373428957128074,9.44318795734719,True,False
61,0.2493118546882298,10.104398369565912,True,False
62,0.3065577667970138,12.000283998572776,True,False
63,0.25941611430324485,9.664288979695227,True,False
64,0.2869725667006987,11.636183805954543,True,False
65,0.2548603159954689,10.777078628171314,True,False
66,0.3139486378927271,11.915194407776067,True,False
67,0.2563764425967908,8.804474031049958,True,False
68,0.24823127388730945,8.194082390225358,True,False
69,0.3058627844021372,9.918619967906523,True,False
70,0.2540952834200024,9.663983541247788,True,False
71,0.5407527761471878,6.781064460654184,True,False
72,0.3019792306311709,9.17830813504781,True,False
73,0.28590637867013724,8.12879864571133,True,False
74,0.3135404476762651,11.174165192611321,True,False
75,0.40318201405785264,11.792706601230378,True,False
76,0.26629219704139684,10.905726399056755,True,False
77,0.311476259426148,10.890572578242324,True,False
78,0.2585508959709558,12.57201671373627,True,False
79,0.31422742983795093,10.889824308833493,True,False
80,0.2606077214419876,12.181270251281077,True,False
81,0.26021548401153494,9.309335962810042,True,False
82,0.3237262076758244,9.171791509095716,True,False
83,0.228517171091577,10.056568550624,True,False
84,0.28022490348991724,8.69413399199232,True,False
85,0.2906626549500849,8.71498395171515,True,False
86,0.25444786851580464,12.689604585928631,True,False
87,0.39760014209374256,11.086374074047264,True,False
88,0.2853868177656451,9.468385562232154,True,False
89,0.2790001338406489,10.822107265319197,True,False
90,0.2871457175748019,13.47918479187955,True,False
91,0.25878860869659454,12.382760074313344,True,False
92,0.3083184630905634,8.300881465247,True,False
93,0.31929024206814616,7.660134865750568,True,False
94,0.2518391963983909,12.682385387935131,True,False
95,0.25269877891354303,8.943880201912895,True,False
96,0.31833778772510957,11.066584390543971,True,False
97,0.2927782977573203,12.285353585024012,True,False
98,0.30270818775027303,7.74185140172041,True,False
99,0.31942561036470357,8.618081643231285,True,False
