N,Residual
50000001,0.1258358261892525
100000001,0.11698873090407247
150000001,0.19648234909081097
200000001,0.2261545683755557
250000001,0.23399620985885505
300000001,0.2309427772480852
350000001,0.22163540230855716
400000001,0.2088388880451575
450000001,0.19359724936337486
500000001,0.17705611528504406
550000001,0.1597002478626166
600000001,0.14195915721849062
650000001,0.12398472371419444
700000001,0.10586443821083691
750000001,0.08774553207188873
800000001,0.06989952414879141
850000001,0.05218907513371818
900000001,0.0345264475620759
950000001,0.017106074127013926
