x,B_2,B_4,B_6,B_8,B_10,B_12,B_14,B_16,B_18,B_20,B_22,B_24,B_26,B_28,B_30
50000001,1.8518374665226935,1.8515537079158912,1.084469431910736,1.851893105564956,1.424444628595812,1.0848405370457377,1.5564860274362062,1.852046405116483,1.0848560345542833,1.4243273258854827,1.6701110420865108,1.084813146851893,1.6993801010888878,1.5563971378270693,0.8490026759570873
100000001,1.9155451249860846,1.9153638082630045,1.1295384989831476,1.9154221045454982,1.4765046079021753,1.129667440807688,1.6119775052574352,1.9157143562442418,1.1296296775703123,1.476440332710653,1.7279262152906547,1.1297497215124142,1.7582326066413774,1.6119369601382174,0.8872042401982487
150000001,1.952192863329539,1.9521474411750654,1.1556271420407067,1.9521575521571348,1.5066722310631993,1.15574922551696,1.6439373400315846,1.952302541274486,1.1557040651577661,1.5066099804972228,1.7615347484913966,1.1558301025929183,1.792296843380812,1.6438596382715103,0.9093214869426716
200000001,1.9780431709750212,1.9780647587000042,1.1740352289489056,1.978037812715017,1.527951495496394,1.1741297378765705,1.6664235738635116,1.9781961115485907,1.1741398427544363,1.5278964374670858,1.7852103741842305,1.1742648092720942,1.8162153421624108,1.6663775078374512,0.9250229677026701
250000001,1.9978562161326792,1.9979542452783052,1.1882005544442769,1.9978500193372726,1.5443333399122137,1.188308953200659,1.6836926446774036,1.9980818972571568,1.188288161275995,1.5443130663969842,1.8033911526317792,1.1883717833985123,1.8346169595193094,1.6836615954475462,0.9371219476295456
300000001,2.0140665233612842,2.0141458911458767,1.199765031028987,2.0140477254609683,1.5576754657324687,1.1998518995587857,1.697858335861273,2.0142772667712583,1.1998417549683293,1.557629384987737,1.818231278561433,1.1999000634487247,1.8495774855247702,1.6977763086953783,0.9469904748636698
350000001,2.0276620983921596,2.0277693682194435,1.2095032576096478,2.027672276710095,1.5688581867010483,1.209571921313375,1.7096922646671078,2.0278722264568327,1.2095680522661867,1.5688273205777554,1.8307069947350998,1.2096319733041982,1.862155791510753,1.7096122914212657,0.9553370395852634
400000001,2.0393538942060947,2.0394861845781382,1.2179022899255718,2.0394293882050967,1.578535889227764,1.2179657714569654,1.719893209070434,2.039578298039432,1.2179761543886918,1.5785213268769858,1.8414673114942728,1.2180163311294363,1.8730588237769128,1.7198430237667939,0.9625238067174432
450000001,2.0496830815770974,2.0498159522081583,1.22529865751784,2.049737253138054,1.5870683241701595,1.2253449600878865,1.728888989248261,2.0498803353085973,1.2253642524444641,1.5870321060497048,1.8509408612177853,1.2254164083611805,1.8826357684010306,1.7288476219814815,0.9688367689135411
500000001,2.058851853450344,2.058980042375584,1.2318539325519535,2.058926980039835,1.5946789539415827,1.231937469936835,1.7368914093342211,2.059040648573193,1.2319771722450006,1.5946410928893149,1.859373834197675,1.2320022788768663,1.8911503303065418,1.7368318890475174,0.9744937022026717
550000001,2.067206960450007,2.0672836250739057,1.2378565242613926,2.067237233744436,1.6015722200469098,1.2379020085177073,1.7441737102823887,2.0673532494747353,1.2379189931380186,1.6015149900993917,1.8669752077936768,1.2379825056379135,1.898901669378527,1.744109108529808,0.9796180637286661
600000001,2.074726065655987,2.074811368414201,1.2432752130847673,2.074781936962987,1.6077725354696701,1.2433173810247062,1.750748589190447,2.0748724123558997,1.2433142787702747,1.6077564047102324,1.8738676432799435,1.2433994179841872,1.9058696576521115,1.7506970763223326,0.9842699229420991
650000001,2.0816692184019954,2.081742711447574,1.2482588000104515,2.0816813593346146,1.6135290031524834,1.2483043706861525,1.7568061324331217,2.0818041759108104,1.2482966593100655,1.613485032760963,1.8801951592889807,1.2484023764417518,1.9123215446429886,1.7567650430523845,0.988529649874285
700000001,2.088069108726379,2.088130484326066,1.2528642307281035,2.088081572069081,1.6188406293180464,1.2528952863133342,1.7623771006465145,2.088213638877991,1.2529185425310694,1.6187797006411642,1.8860510253318743,1.252987319502743,1.9182749630523612,1.7623628668951525,0.9924806354680039
750000001,2.0940466866269247,2.0940578030930603,1.2571622791507417,2.094036185887648,1.6237651111653242,1.2571959083451207,1.7675839150585306,2.0941850462650446,1.257209522309976,1.6237142882901436,1.8915348938620973,1.257276587663111,1.92380655325012,1.767584058768248,0.9961608580995375
800000001,2.099576546018917,2.0996017114350476,1.261152581018693,2.0995887883598745,1.6283544912848649,1.2612004733716218,1.772443412983595,2.0997083334290414,1.2611860651679343,1.6282837185014634,1.896610723604163,1.261276040186773,1.9289509708516244,1.7724410333540541,0.9995749398566628
850000001,2.1047618418733367,2.104812844524088,1.2648952310656651,2.1048016885267584,1.6326505337263384,1.2649357409180986,1.7769679761475166,2.1048847104300052,1.2649332981554462,1.6325704045811524,1.9013801413390088,1.2650135243939342,1.9337811209430218,1.776958495588313,1.0027832201761477
900000001,2.1096702896076223,2.109745685061752,1.2684556760013685,2.109713851153049,1.6367259424353842,1.2684741936004322,1.781276101616405,2.1098094112443175,1.2684867430662168,1.6366395305076418,1.90590693271156,1.2685686012767645,1.9383681390988574,1.7812647009299023,1.0058448839339285
950000001,2.1142895294958675,2.1143329180436554,1.2717855507781037,2.114343204444947,1.6405343990664367,1.2718061338315818,1.7853100944742721,2.1144228653747636,1.2718307415344368,1.640452558035289,1.9101461575841066,1.271877413714512,1.9426464696083043,1.7853017590790405,1.0087065965206978
1000000000,2.1186617053291967,2.118681564621131,1.2749366074720556,2.1187086826378514,1.6441630839427472,1.2749640799432276,1.789124664414951,2.1187945169169633,1.2749813853898693,1.6440744363302382,1.9141642436190933,1.27502388270954,1.9467362005484514,1.7891224165724433,1.0114226337236656
