level,eigenvalue_lambda,mass_m_i (C_UFTF units)
1,20.721012632484324,0.002898103619990042
2,20.98533411537212,0.002916529447089215
3,20.985334115375476,0.0029165294470894485
4,21.74919954094936,0.0029691357933736974
5,21.749199540951288,0.0029691357933738292
6,22.91275096962152,0.0030475233305761107
7,22.91275096962406,0.00304752333057628
8,24.265048497590936,0.0031361657200592147
9,24.265048497593224,0.003136165720059363
10,25.42838746160404,0.0032104642023673175
11,25.42838746160404,0.0032104642023673175
12,25.904891623243813,0.0032404051330635775
