,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12
mode1,1.0,-2.058879360740489e-11,1.1501346251468455e-11,3.1179925391739865e-12,-1.853108827008387e-12,4.623272098700784e-13,-7.678462071271601e-13,1.0125705857362459e-12,5.842999004529939e-13,-2.3395141396699834e-13,-2.3395141396699834e-13,1.9167137091600988e-13
mode2,-2.0588883425291918e-11,0.9895206786285327,-0.5144586519608194,-6.628822661176097e-13,-2.0126754851133534e-12,-2.478593683197461e-12,-2.1801702990155268e-12,1.1384863031504929e-12,5.781663751292721e-13,2.193404619215571e-13,2.193404619215571e-13,2.505323140923339e-13
mode3,1.1501277160786125e-11,-0.5144586519608194,0.9895206786285178,3.331759973932213e-13,-3.6142717739738695e-13,-1.190847000615798e-13,-4.971903681730914e-13,-7.384541672310432e-13,-3.260043845675123e-13,-1.2634958530843235e-13,-1.2634958530843235e-13,2.8770741935276775e-13
mode4,3.1179925391739865e-12,-6.629375319163356e-13,3.331829064614541e-13,0.9571336020972744,-0.16060323229541534,1.4830807232946181e-12,-4.6955754977576676e-14,-1.410673256397478e-12,-1.2858622342211506e-12,-2.827354811256957e-13,-2.827354811256957e-13,-3.546856540691735e-13
mode5,-1.8531502814177844e-12,-2.0126478488404223e-12,-3.6138572298798983e-13,-0.16060323229541534,0.9571336020973995,-9.800236925582993e-13,-2.0727204698580837e-12,-3.6126049612626917e-13,-3.2215603356180916e-13,1.0194330177585343e-14,1.0194330177585343e-14,6.602996510144569e-14
mode6,4.623341189383113e-13,-2.478595410464519e-12,-1.190294275157169e-13,1.4830910868969673e-12,-9.800236925582993e-13,0.9008039688060008,0.6509687003368114,-2.382935906246452e-12,-2.696042787690273e-12,2.275847075904176e-13,2.275847075904176e-13,1.3172069495265795e-12
mode7,-7.678323889906942e-13,-2.1801702990155268e-12,-4.971903681730914e-13,-4.6964391312867745e-14,-2.072706651721618e-12,0.6509687003368114,0.9008039688059725,-1.5402195812139018e-12,-1.503800155291437e-12,-7.31946688589218e-14,-7.31946688589218e-14,3.942245242987747e-13
mode8,1.0125982220091774e-12,1.1384742122810854e-12,-7.384610762992763e-13,-1.4106939836021765e-12,-3.612639506603856e-13,-2.3829479971158596e-12,-1.5402886718962303e-12,0.8217971940520429,0.5533959390254017,-6.093124547230063e-13,-6.093124547230063e-13,-1.6942866210055112e-12
mode9,5.843551729988567e-13,5.781525569928064e-13,-3.260043845675123e-13,-1.2858915977611402e-12,-3.2216985169827485e-13,-2.6959875151444095e-12,-1.503800155291437e-12,0.5533959390254017,0.8217971940520096,-1.0849033483331182e-12,-1.0849033483331182e-12,-1.9836349440635834e-12
mode10,-2.339652321034641e-13,2.1934650735626082e-13,-1.2635994891078166e-13,-2.8273979929334123e-13,1.0180512041119622e-14,2.275847075904176e-13,-7.31601235177575e-14,-6.092986365865406e-13,-1.0848791665943033e-12,0.5972550469414827,0.5972550469414827,1.1855201090082627e-12
mode11,-2.339652321034641e-13,2.1934650735626082e-13,-1.2635994891078166e-13,-2.8273979929334123e-13,1.0180512041119622e-14,2.275847075904176e-13,-7.31601235177575e-14,-6.092986365865406e-13,-1.0848791665943033e-12,0.5972550469414827,0.5972550469414827,1.1855201090082627e-12
mode12,1.9170591625717418e-13,2.505590867317363e-13,2.8770741935276775e-13,-3.5466838139859137e-13,6.602996510144569e-14,1.317179313253648e-12,3.9423834243524044e-13,-1.6942952573408025e-12,-1.9836694894047476e-12,1.1855201090082627e-12,1.1855201090082627e-12,0.6985364256150183
