Z/Mixture,Element_Name/Composition,Dissonance,Waveform
Mixture,Meitnerium:1.00,2.866430590690079e-22,"0.000000,0.000466,0.000931,0.001397,0.001863,0.002329,0.002794,0.003260,0.003726,0.004192,0.004657,0.005123,0.005589,0.006055,0.006520,0.006986,0.007452,0.007917,0.008383,0.008849,0.009315,0.009780,0.010246,0.010712,0.011178,0.011643,0.012109,0.012575,0.013040,0.013506,0.013972,0.014437,0.014903,0.015369,0.015834,0.016300,0.016766,0.017232,0.017697,0.018163,0.018629,0.019094,0.019560,0.020025,0.020491,0.020957,0.021422,0.021888,0.022354,0.022819"
Mixture,Meitnerium:0.92; Helium:0.08,2.131466759212322e-18,"0.000000,0.001586,0.003173,0.004759,0.006345,0.007932,0.009518,0.011104,0.012690,0.014276,0.015863,0.017449,0.019035,0.020621,0.022207,0.023793,0.025378,0.026964,0.028550,0.030136,0.031721,0.033307,0.034892,0.036477,0.038062,0.039648,0.041233,0.042817,0.044402,0.045987,0.047571,0.049156,0.050740,0.052324,0.053908,0.055492,0.057076,0.058659,0.060243,0.061826,0.063409,0.064992,0.066575,0.068157,0.069740,0.071322,0.072904,0.074486,0.076068,0.077649"
Prediction_T1,Aluminum:1.00,1766694484.274389
Prediction_T2,Aluminum:0.99,1766694484.274813
Prediction_T3,Oxygen:0.01;Aluminum:0.99,1766694484.274858
Prediction_T4,Oxygen:0.01;Aluminum:0.99,1766694484.2748978
Prediction_T5,Oxygen:0.02;Aluminum:0.98,1766694484.274936
Prediction_T1,Aluminum:0.9963,1766694524.059745
Prediction_T2,Aluminum:0.9926,1766694524.059984
Prediction_T3,Oxygen:0.0111;Aluminum:0.9889,1766694524.0600278
Prediction_T4,Oxygen:0.0148;Aluminum:0.9852,1766694524.0600681
Prediction_T5,Oxygen:0.0185;Aluminum:0.9815,1766694524.060106
Prediction_T1,Aluminum:0.9963,1766694571.696853
Prediction_T2,Aluminum:0.9926,1766694571.697254
Prediction_T3,Oxygen:0.0111;Aluminum:0.9889,1766694571.697299
Prediction_T4,Oxygen:0.0148;Aluminum:0.9852,1766694571.6973681
Prediction_T5,Oxygen:0.0185;Aluminum:0.9815,1766694571.697408
